dropped,bank,payments,gate
2023-06-28,0.08074058343998956,-0.06532962082797288,0.9030311629333938
2023-10-19,0.0908176006625636,-0.13969161353703913,0.8301971756693366
2023-10-31,0.059944717261795705,-0.1946113010044874,0.9430821482344618
2024-02-09,0.10400026430291671,-0.18491077733093464,0.8548324184018248
2024-02-20,0.10455793581772761,-0.14871019429432453,0.8666005860367509
2024-02-21,0.0985109127344036,-0.1540372913692595,0.8531458992756699
2024-11-13,0.10162512795777764,-0.149770136502156,0.8825367590525836
2024-12-16,0.10378768269934487,-0.16107962355533254,0.8168428813165765
2025-07-03,0.09289938142215373,-0.1004381487468625,0.9441564481376323
2025-07-15,0.0976308688262389,-0.13780634488516635,0.8782826651232897
2025-09-02,0.11792895050433097,-0.36794342073642905,0.8286677303303581
2025-09-19,0.0938461834227284,-0.10171152119653167,0.8925386252077873
2025-10-23,0.06026280485890594,-0.16338079756202678,0.8172016403600362
2025-10-30,0.11663773747690497,-0.10172757336388448,1.000895174515906
2025-11-03,0.026869122341855636,0.20822394586069792,0.8986465583530705
2025-12-19,0.07445310082875903,-0.3465883770982304,-2.3418766925686896e-15
2026-03-05,0.23301425411256685,-0.06260994325941217,0.8608246219205948
2026-06-23,0.22251083711534195,-0.023447575266880752,0.7917091263191934
2026-06-26,0.11235649840472813,-0.2402125402578339,0.8160653346898404
2026-07-06,0.09895091038849145,-0.12688901237598213,0.8699583863990822
2026-07-09,0.07748063076717729,-0.22972042585508035,0.8539932024168142
2026-07-14,0.04259824368281396,-0.15655413049604455,0.8417226532615742
